year,month,average_month_temperature
1963,06,13.070
1963,07,13.376
1963,08,12.698
1963,09,11.672
1963,10,9.804
1963,11,7.070
1963,12,3.318
1964,01,4.057
1964,02,4.609
1964,03,4.392
1964,04,7.803
1964,05,11.487
1964,06,12.246
1964,07,14.035
1964,08,13.615
1964,09,12.576
1964,10,8.284
1964,11,6.906
1964,12,3.531
1965,01,3.362
1965,02,3.558
1965,03,5.036
1965,04,7.174
1965,05,10.165
1965,06,12.792
1965,07,12.297
1965,08,13.225
1965,09,11.310
1965,10,9.956
1965,11,4.420
1965,12,4.042
1966,01,3.118
1966,02,4.876
1966,03,6.338
1966,04,6.395
1966,05,9.855
1966,06,13.560
1966,07,13.234
1966,08,13.147
1966,09,12.650
1966,10,8.994
1966,11,5.214
1966,12,4.906
1967,01,4.540
1967,02,5.332
1967,03,6.523
1967,04,7.173
1967,05,9.159
1967,06,12.565
1967,07,14.535
1967,08,13.892
1967,09,12.339
1967,10,9.407
1967,11,5.713
1967,12,4.383
1968,01,4.347
1968,02,2.201
1968,03,6.026
1968,04,7.232
1968,05,8.684
1968,06,13.115
1968,07,13.322
1968,08,13.929
1968,09,12.500
1968,10,11.186
1968,11,6.247
1968,12,3.411
1969,01,5.078
1969,02,1.324
1969,03,3.550
1969,04,6.752
1969,05,9.788
1969,06,12.564
1969,07,14.812
1969,08,14.657
1969,09,12.594
1969,10,11.732
1969,11,4.698
1969,12,3.552
1970,01,3.785
1970,02,2.961
1970,03,3.818
1970,04,6.007
1970,05,11.194
1970,06,14.331
1970,07,13.403
1970,08,14.343
1970,09,12.919
1970,10,9.716
1970,11,6.958
1970,12,4.357
1971,01,4.608
1971,02,4.920
1971,03,5.190
1971,04,7.072
1971,05,10.372
1971,06,11.204
1971,07,14.746
1971,08,14.015
1971,09,13.097
1971,10,10.430
1971,11,5.970
1971,12,6.508
1972,01,4.001
1972,02,4.394
1972,03,6.080
1972,04,7.661
1972,05,9.567
1972,06,10.626
1972,07,13.848
1972,08,13.301
1972,09,10.752
1972,10,9.672
1972,11,5.872
1972,12,5.586
1973,01,4.694
